purchase_value,age,class,hour_of_day,time_diff,source_Ads,source_Direct,source_SEO,browser_Chrome,browser_FireFox,browser_IE,browser_Opera,browser_Safari,sex_F,sex_M
35.0,36.0,0.0,14.0,6231702.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
18.0,47.0,0.0,1.0,394235.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
27.0,28.0,0.0,5.0,5662019.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
30.0,28.0,0.0,14.0,9002397.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
42.0,30.0,0.0,1.0,10019050.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
40.0,18.0,0.0,18.0,7119693.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
9.0,22.0,0.0,14.0,7447546.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
25.0,30.0,0.0,3.0,7577167.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
17.0,26.0,0.0,18.0,9580872.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
29.0,32.0,0.0,1.0,9200661.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
12.0,48.0,0.0,14.0,7682690.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
20.0,35.0,0.0,0.0,7352341.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
71.0,38.0,0.0,9.0,10244593.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
46.0,24.0,0.0,22.0,7177326.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
15.0,49.0,0.0,18.0,8077263.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
62.0,36.0,0.0,9.0,2784397.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
46.0,37.0,0.0,3.0,8533430.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
18.0,39.0,0.0,19.0,6987750.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
70.0,32.0,0.0,18.0,6760273.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
31.0,30.0,0.0,12.0,1718826.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
50.0,36.0,0.0,16.0,9623051.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
28.0,41.0,0.0,10.0,3115738.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
9.0,19.0,0.0,8.0,9530583.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
24.0,32.0,0.0,11.0,2804771.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
49.0,27.0,0.0,7.0,3162701.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
26.0,46.0,0.0,1.0,5748898.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
29.0,39.0,0.0,12.0,4613887.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
39.0,39.0,0.0,9.0,4745235.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
30.0,33.0,0.0,4.0,2058350.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
